file,phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,delta_tpsa,conjugate_acid,conjugate_base,predicted_rf (pKa),exp_pKa (pKa)
SM10,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1ccc(cc1)C(=O)NCC(=O)[NH:18]c2nc3ccccc3s2,c1ccc(cc1)C(=O)NCC(=O)[N-:18]c2nc3ccccc3s2,8.51,9.02
SM11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,c1ccc(cc1)n2c3c(cn2)c([nH+]c[n]3)N,c1ccc(cc1)n2c3c(cn2)c(nc[n:13]3)N,4.61,3.89
SM12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,c1ccc2c(c1)c(nc[nH+:15]2)Nc3cccc(c3)Cl,c1ccc2c(c1)c(nc[n:15]2)Nc3cccc(c3)Cl,5,5.28
SM13,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,Cc1cccc(c1)Nc2c3cc(c(cc3[nH+:18]cn2)OC)OC,Cc1cccc(c1)Nc2c3cc(c(cc3[n:18]cn2)OC)OC,6.18,5.77
SM14,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,c1ccc(cc1)n2c[nH+]c3c2ccc(c3)[NH2],c1ccc(cc1)n2cnc3c2ccc(c3)[NH2:16],5.12,5.3
SM14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1.62,c1ccc(cc1)n2c[nH+]c3c2ccc(c3)[NH3+],c1ccc(cc1)n2c[nH+]c3c2ccc(c3)N,2.5,2.58
SM15,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc2c(c1)ncn2c3ccc(cc3)[OH:16],c1ccc2c(c1)ncn2c3ccc(cc3)[O-:16],9.23,8.94
SM15,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,c1ccc2c(c1)[nH+:14]cn2c3ccc(cc3)O,c1ccc2c(c1)[n:14]cn2c3ccc(cc3)O,4.63,4.7
SM16,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1cc(c(c(c1)Cl)C(=O)[NH:14]c2ccncc2)Cl,c1cc(c(c(c1)Cl)C(=O)[N-:14]c2ccncc2)Cl,9.13,10.65
SM16,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,c1cc(c(c(c1)Cl)C(=O)Nc2cc[nH+:13]cc2)Cl,c1cc(c(c(c1)Cl)C(=O)Nc2cc[n:13]cc2)Cl,5.16,5.37
SM17,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,c1ccc(cc1)CSc2n[n:16]c(o2)c3cc[nH+]cc3,c1ccc(cc1)CSc2n[n:16]c(o2)c3ccncc3,3.51,3.16
SM18,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,3,1.69,c1ccc2c(c1)c(=O)[nH:24]c(n2)CCC(=O)Nc3ncc(s3)Cc4ccc(c(c4)F)F,c1ccc2c(c1)c(=O)[n-:24]c(n2)CCC(=O)Nc3ncc(s3)Cc4ccc(c(c4)F)F,9.55,9.58
SM18,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)[NH:25]c3ncc(s3)Cc4ccc(c(c4)F)F,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)[N-:25]c3ncc(s3)Cc4ccc(c(c4)F)F,9.58,11.02
SM18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)Nc3[nH+:22]cc(s3)Cc4ccc(c(c4)F)F,c1ccc2c(c1)c(=O)[nH]c(n2)CCC(=O)Nc3[n:22]cc(s3)Cc4ccc(c(c4)F)F,3.14,2.15
SM19,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,CCOc1ccc2c(c1)sc(n2)[NH:19]C(=O)Cc3ccc(c(c3)Cl)Cl,CCOc1ccc2c(c1)sc(n2)[N-:19]C(=O)Cc3ccc(c(c3)Cl)Cl,8.73,9.56
SM20,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,-2.07,c1cc(cc(c1)OCc2ccc(cc2Cl)Cl)/C=C/3\C(=O)[NH:18]C(=O)S3,c1cc(cc(c1)OCc2ccc(cc2Cl)Cl)/C=C/3\C(=O)[N-:18]C(=O)S3,5.03,5.7
SM21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,c1cc(cc(c1)Br)Nc2c(c[nH+]c([n:18]2)Nc3cccc(c3)Br)F,c1cc(cc(c1)Br)Nc2c(cnc([n:18]2)Nc3cccc(c3)Br)F,3.84,4.1
SM22,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1cc2c(cc(c(c2nc1)[OH:11])I)I,c1cc2c(cc(c(c2nc1)[O-:11])I)I,8.26,7.43
SM22,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.58,c1cc2c(cc(c(c2[nH+:10]c1)O)I)I,c1cc2c(cc(c(c2[n:10]c1)[O])I)I,2.46,2.4
SM23,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,CCOC(=O)c1ccc(cc1)Nc2cc([nH+]c([n:25]2)Nc3ccc(cc3)C(=O)OCC)C,CCOC(=O)c1ccc(cc1)Nc2cc(nc([n:25]2)Nc3ccc(cc3)C(=O)OCC)C,4.76,5.45
SM24,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,COc1ccc(cc1)c2c3c([nH+]cnc3oc2c4ccc(cc4)OC)[NH:25]CCO,COc1ccc(cc1)c2c3c(ncnc3oc2c4ccc(cc4)OC)[NH:25]CCO,4.38,2.6
